"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"AggregatorHost","0","203","2203413291008","12095488","2834432","11688",,,,,,,,,,"Process",,,"8",,,,,"6348",".",,,,"11688","11688","2834432","2834432","123064","123064","3018752","3018752","12304384","12304384","2203414921216","96698368",,,"2834432","2834432",,"0",,"System.Diagnostics.ProcessThreadCollection","203","2203413291008","95068160","False",,,,"12095488","12095488",,,,,,"AggregatorHost","0","","True",,
"AppHelperCap","0","422","2203459670016","25026560","8577024","20096",,,,,,,,,,"Process",,,"8",,,,,"15580",".",,,,"20096","20096","8577024","8577024","191464","191464","12894208","12894208","29257728","29257728","2203494273024","176050176",,,"8577024","8577024",,"0",,"System.Diagnostics.ProcessThreadCollection","422","2203459670016","141447168","False",,,,"25026560","25026560",,,,,,"AppHelperCap","0","","True",,
"ApplicationFrameHost","3","395","2203598376960","31723520","11931648","23520","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","0.0625","10.0.22621.4830 (WinBuild.160101.0800)","10.0.22621.4830","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5740","8",,"False","4/29/2025 9:11:32 AM",,"22948",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23520","23520","11931648","11931648","419144","419144","14991360","14991360","38727680","38727680","2203620712448","302489600","True","Normal","11931648","11931648","1048575","3",,"System.Diagnostics.ProcessThreadCollection","395","2203598376960","280154112","False",,,,"31723520","31723520",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:00.0156250","00:00:00.0625000","00:00:00.0468750","ApplicationFrameHost","264014","Settings","True",,
"backgroundTaskHost","3","541","2203967725568","2879488","22880256","36992","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:AD2F1837.OMENCommandCenter.AppX6pcn4g803yyykk2aty0db8j2ds4xz65y.mca",,"Microsoft Corporation","0.8125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8188","8",,"False","4/29/2025 9:09:32 AM",,"2636",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","36992","36992","22880256","22880256","351632","351632","22880256","22880256","41734144","41734144","2203967725568","649502720","True","Normal","22880256","22880256","1048575","3",,"System.Diagnostics.ProcessThreadCollection","541","2203967725568","649502720","False",,,,"2879488","2879488",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00.3906250","00:00:00.8125000","00:00:00.4218750","backgroundTaskHost","0","","True",,
"backgroundTaskHost","3","411","2203489554432","27734016","6770688","20368","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:Global.RulesEngine.AppXgphnekvm0vv49drvfehh4b6kyf6ckafp.mca",,"Microsoft Corporation","0","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5872","8",,"False","4/29/2025 12:14:15 PM",,"12932",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","20368","20368","6770688","6770688","260816","260816","7200768","7200768","27734016","27734016","2203489554432","171331584","True","Normal","6770688","6770688","1048575","3",,"System.Diagnostics.ProcessThreadCollection","411","2203489554432","171331584","False",,,,"27734016","27734016",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00","00:00:00","00:00:00","backgroundTaskHost","0","","True",,
"backgroundTaskHost","3","770","2204009791488","27148288","27324416","48200","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXnme9zjyebb2xnyygh6q9ev6p5d234br2.mca",,"Microsoft Corporation","0.078125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7652","8",,"False","4/29/2025 11:49:43 AM",,"14700",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","48200","48200","27324416","27324416","453120","453120","27836416","27836416","69660672","69660672","2204009824256","691601408","True","Normal","27324416","27324416","1048575","3",,"System.Diagnostics.ProcessThreadCollection","770","2204009791488","691568640","False",,,,"27148288","27148288",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00.0312500","00:00:00.0781250","00:00:00.0468750","backgroundTaskHost","0","","True",,
"backgroundTaskHost","3","234","2203468525568","20131840","4841472","13728","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:Global.IrisService.AppXwt29n3t7x7q6fgyrrbbqxwzkqjfjaw4y.mca",,"Microsoft Corporation","0.03125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5476","8",,"False","4/29/2025 12:14:15 PM",,"14880",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13728","13728","4841472","4841472","214768","214768","4841472","4841472","20131840","20131840","2203468525568","150302720","True","Normal","4841472","4841472","1048575","3",,"System.Diagnostics.ProcessThreadCollection","234","2203468525568","150302720","False",,,,"20131840","20131840",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00.0156250","00:00:00.0312500","00:00:00.0156250","backgroundTaskHost","0","","True",,
"backgroundTaskHost","3","326","2480997560320","3829760","18558976","30024","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXfkd8mejksk4ancwf4vtyhmkvtzn1jcbs.mca",,"Microsoft Corporation","0.09375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8640","8",,"False","4/29/2025 9:09:37 AM",,"15108",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","30024","30024","18558976","18558976","475680","475680","18558976","18558976","44605440","44605440","2480997560320","-1493536768","True","Normal","18558976","18558976","1048575","3",,"System.Diagnostics.ProcessThreadCollection","326","2480997560320","-1493536768","False",,,,"3829760","3829760",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00.0156250","00:00:00.0937500","00:00:00.0781250","backgroundTaskHost","0","","True",,
"backgroundTaskHost","3","253","2203469697024","21536768","4304896","15224","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:Global.Accounts.AppXqe94epy97qwa6w3j6w132e8zvcs117nd.mca",,"Microsoft Corporation","0.03125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6500","8",,"False","4/29/2025 12:14:14 PM",,"15716",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15224","15224","4304896","4304896","220896","220896","6246400","6246400","21536768","21536768","2203469697024","151474176","True","Normal","4304896","4304896","1048575","3",,"System.Diagnostics.ProcessThreadCollection","253","2203469697024","151474176","False",,,,"21536768","21536768",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00.0312500","00:00:00.0312500","00:00:00","backgroundTaskHost","0","","True",,
"backgroundTaskHost","3","249","2203908509696","2502656","7766016","28312","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppX4325622ft6437f3xfywcfxgbedfvpn0x.mca",,"Microsoft Corporation","0.046875","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7460","8",,"False","4/29/2025 9:12:32 AM",,"21712",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","28312","28312","7766016","7766016","248016","248016","7766016","7766016","21946368","21946368","2203908509696","590286848","True","Normal","7766016","7766016","1048575","3",,"System.Diagnostics.ProcessThreadCollection","249","2203908509696","590286848","False",,,,"2502656","2502656",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:00.0312500","00:00:00.0468750","00:00:00.0156250","backgroundTaskHost","0","","True",,
