
Name                                        VM
----                                        --
Idle                                      8192
System                                 4198400
WMIRegistrationService                96616448
vpnagent                             145969152
vpnui                                201269248
Registry                             204312576
BingSvc                              291553280
ExpressVPNNotificationService        332529664
NVIDIA Web Helper                    334323712
HPAudioSwitch                        551497728
expressvpnd                          935735296
Memory Compression                  1161297920
JetBrains.Etw.Collector.Host        4352528384
nssm                                4375662592
sqlwriter                           4377731072
OmenCap                             4381073408
DtsApo4Service                      4397838336
nvsphelper64                        4447748096
mcafee-security-ft                  4453400576
mysqld                              4474052608
WD-TabNine                          4498014208
TabNine                             4587216896
TabNine                             4777938944
NVIDIA Share                        4842254336
NVIDIA Share                        4891701248
HPCommRecovery                      4894056448
NVIDIA Share                        4910383104
sqlceip                             4946747392
IntelAudioService                   4950433792
DesktopExtension                    4973789184
TouchpointGpuInfo                   4979810304
XtuService                          4999671808
OverlayHelper                       5002190848
OneApp.IGCC.WinService              5002854400
OmenInstallMonitor                  5017374720
HPSystemEventUtilityHost            5026336768
HPMediaNetwork                      5035745280
HPSystemEventUtilityBackground      5056086016
SystemOptimizer                     5082820608
mysqld                              5089918976
TouchpointAnalyticsClientService    5108191232
EtwHostServiceUpdater               5282111488
OmenCommandCenterBackground         6256640000
mongod                              7097905152
HP.myHP                            39828410368
mcafee-security                    39834968064
sqlservr                           40832008192
smss                             2203361095680
svchost                          2203387527168
svchost                          2203387752448
svchost                          2203389526016
svchost                          2203390980096
svchost                          2203391381504
wlanext                          2203391471616
dasHost                          2203391987712
svchost                          2203392724992
svchost                          2203393499136
svchost                          2203393732608
unsecapp                         2203393855488
IntelCpHDCPSvc                   2203394109440
fontdrvhost                      2203395686400
wininit                          2203395756032
svchost                          2203396349952
svchost                          2203396366336
svchost                          2203396800512
svchost                          2203396816896
svchost                          2203397484544
svchost                          2203397668864
svchost                          2203398131712
fontdrvhost                      2203398479872
svchost                          2203399196672
jhi_service                      2203399266304
svchost                          2203399626752
svchost                          2203399761920
ipf_uf                           2203400192000
svchost                          2203400511488
svchost                          2203400638464
svchost                          2203400912896
svchost                          2203402125312
svchost                          2203402141696
svchost                          2203402231808
svchost                          2203402792960
svchost                          2203403915264
svchost                          2203404099584
svchost                          2203404386304
conhost                          2203404955648
WmiPrvSE                         2203405090816
RuntimeBroker                    2203405279232
svchost                          2203407503360
svchost                          2203407785984
svchost                          2203407831040
svchost                          2203407892480
RuntimeBroker                    2203408130048
svchost                          2203408265216
dllhost                          2203408334848
svchost                          2203408441344
svchost                          2203409645568
svchost                          2203410640896
svchost                          2203410976768
svchost                          2203411988480
AggregatorHost                   2203412242432
svchost                          2203412488192
svchost                          2203412901888
svchost                          2203413475328
svchost                          2203413741568
unsecapp                         2203413991424
dllhost                          2203414278144
conhost                          2203414896640
conhost                          2203415400448
svchost                          2203417186304
UserOOBEBroker                   2203417382912
svchost                          2203417886720
RuntimeBroker                    2203418509312
dasHost                          2203419529216
svchost                          2203420213248
svchost                          2203420409856
svchost                          2203421085696
svchost                          2203421147136
services                         2203421913088
conhost                          2203422232576
svchost                          2203422547968
svchost                          2203423383552
csrss                            2203423395840
RuntimeBroker                    2203423707136
svchost                          2203424239616
NetworkCap                       2203424419840
conhost                          2203425021952
conhost                          2203425071104
winlogon                         2203426721792
svchost                          2203430141952
SynTPEnhService                  2203431395328
NisSrv                           2203431694336
svchost                          2203432222720
WUDFHost                         2203432955904
svchost                          2203433050112
spoolsv                          2203434995712
svchost                          2203436044288
HPPrintScanDoctorService         2203436072960
SecurityHealthSystray            2203437023232
ipf_helper                       2203437662208
svchost                          2203437973504
svchost                          2203439247360
svchost                          2203444441088
RuntimeBroker                    2203445919744
svchost                          2203445960704
FileSyncHelper                   2203448397824
WUDFHost                         2203448545280
LocationNotificationWindows      2203448942592
WmiPrvSE                         2203449126912
svchost                          2203450191872
svchost                          2203450306560
svchost                          2203451109376
ONENOTEM                         2203452153856
svchost                          2203452420096
MpDefenderCoreService            2203453251584
backgroundTaskHost               2203453833216
RtkAudUService64                 2203456069632
svchost                          2203456253952
svchost                          2203456438272
AppHelperCap                     2203457572864
svchost                          2203458052096
svchost                          2203458633728
MoNotificationUx                 2203459108864
RuntimeBroker                    2203459387392
svchost                          2203460624384
svchost                          2203460808704
